project_accession,n_runs_in_project,n_conflict_rows,n_overlap_rows,conflict_side,conflict_ratio,infer_value_projlevel,misjudge_source,infer_method_top,orig_real_date_dist,orig_sentinel_dist
PRJNA301005,8,8,8,orig_before_interval,1.0,2016-XX-XX,rule,literature|rule_date,2011:6; 2010:2,
PRJEB10929,8,8,8,orig_before_interval,1.0,2013-XX-XX,rule,study_meta|rule_date,2011:8,
PRJEB15448,8,8,8,orig_before_interval,1.0,2016-XX-XX,rule,study_meta|rule_date,2014:8,
PRJEB22784,12,8,12,orig_after_interval,0.6667,2011-XX-XX,llm,llm_agent|llm_agent,2012:8; 2011:4,
PRJEB27554,10,8,10,orig_before_interval,0.8,2014-03-20,llm,llm_agent|llm_agent,2007:8; 2014:2,
PRJNA322324,15,8,14,orig_before_interval,0.5333,2006-XX-XX;2015-XX-XX;2017-XX-XX,rule,literature;literat|rule_date;rule_dat,1984:3; 1982:2; 1993:2; 2008:2; 2006:2; 2012:2; 2005:1,SENTINEL:missing:1
PRJNA865910,8,8,8,orig_before_interval,1.0,2017-XX-XX,llm,llm_agent|llm_agent,2015:8,
PRJNA482263,9,7,9,orig_after_interval,0.7778,2014-12-XX,llm,llm_agent|llm_agent,2015:7; 2014:2,
PRJNA860094,7,7,7,orig_after_interval,1.0,2019-XX-XX,llm,llm_agent|llm_agent,2021:4; 2022:2; 2020:1,
PRJEB73590,139,7,139,orig_after_interval,0.0504,2014-XX-XX;2022-XX-XX,rule,literature;literat|rule_date;rule_dat,2021:76; 2022:43; 2020:12; 2023:7; 2019:1,
PRJNA312986,6,6,6,orig_before_interval,1.0,2016-XX-XX,rule,literature|rule_date,2013:6,
PRJEB28338,24,6,22,orig_before_interval,0.25,2016-XX-XX,llm,llm_agent|llm_agent,2016:16; 2015:6,UNPARSED:2015-10:2
PRJEB35838,6,6,6,orig_after_interval,1.0,1900-XX-XX;2084-XX-XX,rule,study_meta;literat|rule_date;rule_dat,2011:6,
PRJNA680460,70,6,6,orig_before_interval,0.0857,2017-XX-XX;2018-XX-XX,llm,llm_agent;llm_agen|llm_agent;llm_agen,2015:6,UNPARSED:2017-06-09/2018-09-2:64
PRJNA732564,12,6,12,orig_after_interval,0.5,2015-11-XX,llm,llm_agent|llm_agent,2016:6; 2015:6,
PRJNA756408,28,6,28,orig_after_interval,0.2143,2019-02-XX;2020-12-XX,llm,llm_agent;llm_agen|llm_agent;llm_agen,2020:15; 2019:7; 2021:6,
PRJNA1115057,10,6,6,orig_after_interval,0.6,1969-XX-XX,rule,literature|rule_date,2020:6,SENTINEL::4
PRJNA1222598,6,6,6,orig_before_interval,1.0,2025-XX-XX,rule,literature|rule_date,2020:6,
PRJEB6384,5,5,5,orig_after_interval,1.0,2011-10-XX,llm,llm_agent|llm_agent,2012:5,
PRJNA299404,5,5,5,orig_after_interval,1.0,2001-XX-XX,rule,literature|rule_date,2012:5,
PRJNA305355,5,5,5,orig_before_interval,1.0,2011-XX-XX,rule,literature|rule_date,2010:5,
PRJEB35877,27,5,27,orig_before_interval,0.1852,2017-XX-XX,llm,llm_agent|llm_agent,2017:22; 2016:5,
PRJNA672868,5,5,5,orig_after_interval,1.0,2018-XX-XX,llm,llm_agent|llm_agent,2019:5,
PRJNA631351,5,5,5,orig_after_interval,1.0,2016-XX-XX,llm,llm_agent|llm_agent,2018:5,
PRJNA248239,34,4,34,orig_before_interval,0.1176,2014-XX-XX,llm,llm_agent|llm_agent,2014:30; 2013:4,
PRJEB22997,44,4,4,orig_before_interval,0.0909,2015-XX-XX,rule,study_meta|rule_date,2014:4,UNPARSED:2014-10-26T21:54:00:8; UNPARSED:2014-06-05T16:38:00:3; UNPARSED:2014-06-09T06:37:00:3; UNPARSED:2014-06-12T20:21:00:3; UNPARSED:2014-06-06T16:11:00:3; UNPARSED:2014-06-04T12:52:00:3; UNPARSED:2014-06-08T10:24:00:3; UNPARSED:2014-06-16T06:34:00:3
PRJNA385506,12,4,12,orig_before_interval,0.3333,2015-XX-XX,llm,llm_agent|llm_agent,2015:8; 2014:4,
PRJNA385522,12,4,12,orig_before_interval,0.3333,2015-XX-XX,llm,llm_agent|llm_agent,2015:8; 2014:4,
PRJNA644754,235,4,235,orig_before_interval,0.017,2018-02-XX;2019-04-XX,llm,llm_agent;llm_agen|llm_agent;llm_agen,2018:134; 2019:97; 2017:4,
PRJEB30289,4,4,4,orig_after_interval,1.0,1911-XX-XX,rule,literature|rule_date,2015:4,
PRJNA823908,10,4,10,orig_after_interval,0.4,2015-XX-XX,llm,llm_agent|llm_agent,2015:6; 2016:4,
PRJNA863091,11,4,5,orig_after_interval,0.3636,2017-XX-XX,llm,llm_agent|llm_agent,2020:4; 2017:1,UNPARSED:2019-07:3; UNPARSED:2020-06:3
PRJNA833122,17,4,17,orig_after_interval,0.2353,2020-12-XX,llm,llm_agent|llm_agent,2020:13; 2021:4,
PRJNA1130911,14,4,14,orig_before_interval|orig_after_interval,0.2857,2023-XX-XX,llm,llm_agent|llm_agent,2023:10; 2024:2; 2022:1; 2020:1,
PRJNA197241,3,3,3,orig_after_interval,1.0,2000-XX-XX,rule,literature|rule_date,2011:3,
PRJNA271884,4,3,3,orig_after_interval,0.75,1980-XX-XX;1994-XX-XX;1998-XX-XX;2003-XX-XX;2004-XX-XX;2006-XX-XX;2008-XX-XX;2010-XX-XX,rule,study_meta;study_m|rule_date;rule_dat,2011:3,SENTINEL:missing:1
PRJNA433242,5,3,5,orig_before_interval,0.6,2014-XX-XX;2016-XX-XX,llm,llm_agent;llm_agen|llm_agent;llm_agen,2013:3; 2016:1; 2014:1,
PRJEB31194,3,3,3,orig_after_interval,1.0,1952-XX-XX,rule,study_meta|rule_date,2010:3,
PRJNA428846,26,3,26,orig_after_interval,0.1154,2015-03-XX,llm,llm_agent|llm_agent,2015:23; 2016:3,
PRJNA637457,4,3,4,orig_before_interval,0.75,2017-XX-XX,llm,llm_agent|llm_agent,2013:3; 2017:1,
PRJNA662021,6,3,6,orig_after_interval,0.5,2013-06-XX,llm,llm_agent|llm_agent,2015:3; 2013:3,
PRJNA693412,3,3,3,orig_before_interval,1.0,2017-XX-XX,llm,llm_agent|llm_agent,2015:3,
PRJEB44214,88,3,88,orig_after_interval,0.0341,2019-XX-XX,llm,llm_agent|llm_agent,2019:85; 2020:3,
PRJNA812770,13,3,13,orig_after_interval,0.2308,2019-XX-XX,llm,llm_agent|llm_agent,2019:10; 2022:3,
PRJEB53529,3,3,3,orig_after_interval,1.0,2017-XX-XX,rule,literature|rule_date,2020:3,
PRJNA870952,3,3,3,orig_after_interval,1.0,2019-XX-XX,llm,llm_agent|llm_agent,2021:2; 2020:1,
PRJEB65987,4,3,4,orig_before_interval,0.75,2020-XX-XX,rule,literature|rule_date,2018:3; 2020:1,
PRJNA238866,2,2,2,orig_after_interval,1.0,2000-XX-XX,rule,study_meta|rule_date,2012:2,
PRJNA340462,2,2,2,orig_after_interval,1.0,2013-03-XX,llm,llm_agent|llm_agent,2014:2,
PRJEB13486,2,2,2,orig_before_interval,1.0,2013-04-XX,llm,llm_agent|llm_agent,2011:2,
PRJEB19379,4,2,2,orig_after_interval,0.5,2009-XX-XX,rule,study_meta|rule_date,2010:1; 2012:1,UNPARSED:2012-12-05T13:00:1; UNPARSED:2013-12-02T15:00:1
PRJEB37898,12,2,12,orig_after_interval,0.1667,2016-XX-XX;2017-XX-XX,llm,llm_agent;llm_agen|llm_agent;llm_agen,2017:5; 2016:5; 2020:1; 2019:1,
PRJEB48166,44,2,44,orig_after_interval,0.0455,2018-XX-XX;2020-XX-XX,rule,literature;literat|rule_date;rule_dat,2020:42; 2021:2,
PRJEB47715,2,2,2,orig_after_interval,1.0,2007-XX-XX,rule,study_meta|rule_date,2020:2,
PRJEB48350,2,2,2,orig_before_interval,1.0,2020-XX-XX,rule,study_meta|rule_date,2019:2,
PRJNA940836,2,2,2,orig_after_interval,1.0,2013-XX-XX,llm,llm_agent|llm_agent,2018:1; 2017:1,
PRJEB51662,20,2,20,orig_after_interval,0.1,2021-XX-XX,rule,literature|rule_date,2021:18; 2022:2,
PRJNA249643,1,1,1,orig_after_interval,1.0,2010-XX-XX,rule,literature|rule_date,2011:1,
PRJNA189676,1,1,1,orig_before_interval,1.0,2016-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA251580,3,1,1,orig_before_interval,0.3333,2013-XX-XX,rule,literature|rule_date,2010:1,UNPARSED:20090722:2
PRJNA330042,1,1,1,orig_before_interval,1.0,2016-XX-XX,rule,literature|rule_date,2010:1,
PRJNA365811,1,1,1,orig_before_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA365814,1,1,1,orig_before_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA365813,1,1,1,orig_before_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA365817,1,1,1,orig_before_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA365821,1,1,1,orig_before_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA365825,1,1,1,orig_before_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA365815,1,1,1,orig_before_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA365818,1,1,1,orig_before_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA365820,1,1,1,orig_before_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA345663,1,1,1,orig_before_interval,1.0,2020-XX-XX,llm,llm_agent|llm_agent,2016:1,
PRJNA365892,1,1,1,orig_before_interval,1.0,2008-08-12,llm,llm_agent|llm_agent,2006:1,
PRJNA365812,1,1,1,orig_before_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA365816,1,1,1,orig_before_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA365819,1,1,1,orig_before_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA365822,1,1,1,orig_before_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA365823,1,1,1,orig_before_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA365824,1,1,1,orig_before_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA365826,1,1,1,orig_after_interval,1.0,2010-XX-XX,llm,llm_agent|llm_agent,2011:1,
PRJNA375330,1,1,1,orig_before_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2010:1,
PRJNA273666,1,1,1,orig_before_interval,1.0,2013-XX-XX,rule,study_meta|rule_date,2012:1,
PRJNA443513,1,1,1,orig_after_interval,1.0,2016-02-XX,llm,llm_agent|llm_agent,2017:1,
PRJNA443511,1,1,1,orig_after_interval,1.0,2016-02-XX,llm,llm_agent|llm_agent,2017:1,
PRJNA443517,1,1,1,orig_after_interval,1.0,2016-01-XX,llm,llm_agent|llm_agent,2017:1,
PRJNA443516,1,1,1,orig_after_interval,1.0,2016-01-XX,llm,llm_agent|llm_agent,2017:1,
PRJNA472216,1,1,1,orig_before_interval,1.0,2018-05-21,llm,llm_agent|llm_agent,2017:1,
PRJNA443510,1,1,1,orig_after_interval,1.0,2016-02-XX,llm,llm_agent|llm_agent,2017:1,
PRJNA443512,1,1,1,orig_after_interval,1.0,2016-02-XX,llm,llm_agent|llm_agent,2017:1,
PRJNA443515,1,1,1,orig_after_interval,1.0,2016-01-XX,llm,llm_agent|llm_agent,2017:1,
PRJNA443514,1,1,1,orig_after_interval,1.0,2016-01-XX,llm,llm_agent|llm_agent,2017:1,
PRJNA443518,1,1,1,orig_after_interval,1.0,2016-02-XX,llm,llm_agent|llm_agent,2017:1,
PRJNA443520,1,1,1,orig_after_interval,1.0,2016-02-XX,llm,llm_agent|llm_agent,2017:1,
PRJNA443519,1,1,1,orig_after_interval,1.0,2016-02-XX,llm,llm_agent|llm_agent,2017:1,
PRJNA443521,1,1,1,orig_after_interval,1.0,2016-02-XX,llm,llm_agent|llm_agent,2017:1,
PRJDB8702,1,1,1,orig_after_interval,1.0,2011-XX-XX,rule,study_meta|rule_date,2017:1,
PRJEB31195,1,1,1,orig_after_interval,1.0,1952-XX-XX,rule,study_meta|rule_date,2011:1,
PRJNA497963,34,1,34,orig_after_interval,0.0294,2013-XX-XX;2015-XX-XX,llm,llm_agent;llm_agen|llm_agent;llm_agen,2015:22; 2014:11; 2016:1,
PRJNA502762,1,1,1,orig_after_interval,1.0,2017-08-XX,llm,llm_agent|llm_agent,2018:1,
PRJNA617094,1,1,1,orig_before_interval,1.0,2019-02-25,llm,llm_agent|llm_agent,2010:1,
PRJNA617096,1,1,1,orig_before_interval,1.0,2019-01-12,llm,llm_agent|llm_agent,2000:1,
PRJNA617106,1,1,1,orig_before_interval,1.0,2019-02-01,llm,llm_agent|llm_agent,2006:1,
PRJNA617107,1,1,1,orig_before_interval,1.0,2019-01-26,llm,llm_agent|llm_agent,2009:1,
PRJNA654762,1,1,1,orig_after_interval,1.0,2016-XX-XX,llm,llm_agent|llm_agent,2018:1,
PRJNA654771,1,1,1,orig_after_interval,1.0,2017-XX-XX,llm,llm_agent|llm_agent,2018:1,
PRJNA653495,1,1,1,orig_before_interval,1.0,2019-01-26,llm,llm_agent|llm_agent,2009:1,
PRJNA650881,1,1,1,orig_before_interval,1.0,2019-06-25,llm,llm_agent|llm_agent,2010:1,
PRJNA650826,1,1,1,orig_before_interval,1.0,2019-06-25,llm,llm_agent|llm_agent,1998:1,
PRJEB27621,169,1,161,orig_before_interval,0.0059,2017-06-XX,llm,llm_agent|llm_agent,2017:160; 2007:1,UNPARSED:2017-06:8
PRJNA621654,1,1,1,orig_before_interval,1.0,2018-10-12,llm,llm_agent|llm_agent,2009:1,
