project_accession,n_runs_in_project,n_conflict_rows,conflict_ratio,orig_sentinel_count,orig_real_hosts,orig_distinct_real,infer_value_projlevel,conflict_concept_pair,misjudge_source,infer_source_detail,infer_method_detail
PRJNA339480,24,12,0.5,0,bulk soil with straw and earthworms replicate 3:1; rhizosphere replicate 2:1; rhizosphere replicate 3:1; rhizosphere with straw replicate 2:1; rhizosphere with straw and earthworms replicate 2:1; bulk soil with earthworms replicate 2:1,24,soil metagenome,orig={'plant'} -> infer={'soil'},llm,llm_agent:12,llm_agent:12
PRJNA771179,12,12,1.0,0,gallus gallus:12,1,lung metagenome,"orig={'bird', 'chicken'} -> infer={'human'}",llm,llm_agent:12,llm_agent:12
PRJNA784453,12,12,1.0,0,equus ferus przewalskii:6; equus hemionus:6,2,wildlife metagenome,orig={'horse'} -> infer={'wildlife'},llm,llm_agent:12,llm_agent:12
PRJNA947216,12,12,1.0,0,mus musculus:12,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:12,llm_agent:12
PRJEB9818,331,11,0.0332,320,mus musculus:11,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:11,llm_agent:11
PRJNA339659,15,11,0.7333,0,gallus gallus:11; galus galus:4,2,respiratory tract metagenome,"orig={'bird', 'chicken'} -> infer={'human'}",llm,llm_agent:11,llm_agent:11
PRJNA732170,10,10,1.0,0,sus scrofa:10,1,human lung metagenome,orig={'pig'} -> infer={'human'},llm,llm_agent:10,llm_agent:10
PRJNA761454,96,10,0.1042,0,homo sapiens:81; water control:10; enviromental control:5,3,human gut metagenome;viral metagenome,orig={'freshwater'} -> infer={'human'},llm,llm_agent;llm_agent:10,llm_agent;llm_agent:10
PRJEB58189,138,9,0.0652,37,vicia faba:47; triticum aestivum:43; soil metagenome:9; hordeum vulgare:1; avena sativa:1,5,rhizosphere metagenome,"orig={'soil', 'environment'} -> infer={'plant'}",llm,llm_agent:9,llm_agent:9
PRJNA732769,72,9,0.125,0,c57/bl6 mouse:63; homo sapiens:9,2,mouse gut metagenome,orig={'human'} -> infer={'mouse'},llm,llm_agent:9,llm_agent:9
PRJNA867479,9,9,1.0,0,plant:9,1,soil metagenome,orig={'plant'} -> infer={'soil'},llm,llm_agent:9,llm_agent:9
PRJNA644399,8,8,1.0,0,mus musculus:8,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:8,llm_agent:8
PRJNA1196983,7,7,1.0,0,mus musculus:7,1,human skin metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:7,llm_agent:7
PRJNA595966,146,7,0.0479,0,mus musculus:139; homo sapiens:7,2,mouse gut metagenome,orig={'human'} -> infer={'mouse'},llm,llm_agent:7,llm_agent:7
PRJNA1164810,6,6,1.0,0,water sample:6,1,aquatic metagenome,orig={'freshwater'} -> infer={'marine'},llm,llm_agent:6,llm_agent:6
PRJNA259179,6,6,1.0,0,mus musculus:6,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:6,llm_agent:6
PRJNA522688,18,6,0.3333,0,mus musculus:12; homo sapiens:6,2,mouse gut metagenome,orig={'human'} -> infer={'mouse'},llm,llm_agent:6,llm_agent:6
PRJNA723631,27,6,0.2222,0,raphanus sativus:21; gallus gallus:6,2,soil metagenome,"orig={'bird', 'chicken'} -> infer={'soil'}",llm,llm_agent:6,llm_agent:6
PRJNA988937,35,6,0.1714,12,fish:17; gallus gallus:6,2,aquaculture metagenome;fish gut metagenome,"orig={'bird', 'chicken'} -> infer={'fish'}",llm,llm_agent;llm_agent:6,llm_agent;llm_agent:6
PRJNA392516,30,5,0.1667,5,bovine:20; yak:5,2,bovine gut metagenome,orig={'yak'} -> infer={'bovine'},llm,llm_agent:5,llm_agent:5
PRJNA655627,8,5,0.625,0,rhizosphere soil:1; zea mays subsp. mays:1; bulk soil 4:1; replica:1; bulk soil 3:1; bulk soil 2:1,8,rhizosphere metagenome,orig={'soil'} -> infer={'plant'},llm,llm_agent:5,llm_agent:5
PRJNA665129,5,5,1.0,0,ovis aries:4; bos taurus:1,2,feces metagenome,orig={'sheep'} -> infer={'human'},llm,llm_agent:5,llm_agent:5
PRJNA820553,15,5,0.3333,6,herbivore:4; equus asinus:3; bird:2,3,feces metagenome,orig={'horse'} -> infer={'human'},llm,llm_agent:5,llm_agent:5
PRJNA853148,5,5,1.0,0,plant:5,1,soil metagenome,orig={'plant'} -> infer={'soil'},llm,llm_agent:5,llm_agent:5
PRJNA1031997,15,4,0.2667,5,gallus gallus:6; bubalus bubalis:2; sus scrofa:2,3,chicken gut metagenome,"orig={'buffalo', 'bovine'} -> infer={'chicken'}",llm,llm_agent:4,llm_agent:4
PRJNA661048,19,4,0.2105,0,gorilla:7; homo sapiens:4; pongo abelii:4; pan troglodytes:4,4,primate metagenome,orig={'human'} -> infer={'primate'},llm,llm_agent:4,llm_agent:4
PRJNA773920,387,4,0.0103,0,homo sapiens:383; water:4,2,clinical metagenome,orig={'freshwater'} -> infer={'human'},llm,llm_agent:4,llm_agent:4
PRJNA941130,4,4,1.0,0,bubalus bubalis:2; sus scrofa domesticus:2,2,feces metagenome,"orig={'buffalo', 'bovine'} -> infer={'human'}",llm,llm_agent:4,llm_agent:4
PRJNA217380,3,3,1.0,0,balb/c mice in l group:1; balb/c mice in h group:1; balb/c mice in c group:1,3,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:3,llm_agent:3
PRJNA447857,14,3,0.2143,11,fish:2; hemichromis guttatus fish:1,2,viral metagenome,orig={'fish'} -> infer={'human'},llm,llm_agent:3,llm_agent:3
PRJNA510571,1255,3,0.0024,1045,homo sapiens:198; 9606:2; environment:2; gallus gallus:1; alouatta caraya #3:1; papio hamadryas:1,11,human viral metagenome,orig={'primate'} -> infer={'human'},llm,llm_agent:3,llm_agent:3
PRJNA561510,33,3,0.0909,0,homo sapiens:30; soil:3,2,human gut metagenome,orig={'soil'} -> infer={'human'},llm,llm_agent:3,llm_agent:3
PRJNA564982,5,3,0.6,0,stray dog:1; opossum:1; procyon lotor:1; canis latrans:1; owned dog:1,5,wildlife metagenome,orig={'canine'} -> infer={'wildlife'},llm,llm_agent:3,llm_agent:3
PRJNA666664,23,3,0.1304,0,homo sapiens:20; rattus:3,2,human viral metagenome,orig={'rat'} -> infer={'human'},llm,llm_agent:3,llm_agent:3
PRJNA678469,6,3,0.5,0,bulk soil 3:1; bulk soil 2:1; rhizosphere rep 1:1; rhizosphere rep 3:1; rhizosphere rep 2:1; bulk soil 1:1,6,rhizosphere metagenome,orig={'soil'} -> infer={'plant'},llm,llm_agent:3,llm_agent:3
PRJNA678475,6,3,0.5,0,bulk soil 3:1; bulk soil 1:1; rhizosphere rep 3:1; rhizosphere rep 2:1; rhizosphere rep 1:1; bulk soil 2:1,6,rhizosphere metagenome,orig={'soil'} -> infer={'plant'},llm,llm_agent:3,llm_agent:3
PRJNA679303,3,3,1.0,0,homo sapiens:3,1,lake metagenome,orig={'human'} -> infer={'freshwater'},llm,llm_agent:3,llm_agent:3
PRJNA731454,9,3,0.3333,0,stipagrostis:6; soil:3,2,rhizosphere metagenome,orig={'soil'} -> infer={'plant'},llm,llm_agent:3,llm_agent:3
PRJNA837707,34,3,0.0882,0,urobatis halleri:16; myliobatis californica:15; water:3,3,fish metagenome,orig={'freshwater'} -> infer={'fish'},llm,llm_agent:3,llm_agent:3
PRJEB49339,4,2,0.5,0,sus scrofa:2; cervidae:2,2,wildlife metagenome,orig={'pig'} -> infer={'wildlife'},llm,llm_agent:2,llm_agent:2
PRJNA1184326,2,2,1.0,0,mice:2,1,human gut metagenome:colon;human gut metagenome:colorectal,orig={'mouse'} -> infer={'human'},rule,literature;literature:2,rule_host_human;rule_host_human:2
PRJNA293004,2,2,1.0,0,soil:2,1,rhizosphere metagenome,orig={'soil'} -> infer={'plant'},llm,llm_agent:2,llm_agent:2
PRJNA454878,16,2,0.125,0,oncorhynchus mykiss:14; pond water:2,2,fish metagenome,orig={'freshwater'} -> infer={'fish'},llm,llm_agent:2,llm_agent:2
PRJNA524703,440,2,0.0045,0,homo sapiens:400; enviromental control:36; lambdavirus lambda:2; mus musculus:2,4,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:2,llm_agent:2
PRJNA588182,2,2,1.0,0,soil:2,1,rhizosphere metagenome,orig={'soil'} -> infer={'plant'},llm,llm_agent:2,llm_agent:2
PRJNA588665,2,2,1.0,0,soil:2,1,rhizosphere metagenome,orig={'soil'} -> infer={'plant'},llm,llm_agent:2,llm_agent:2
PRJNA607213,5,2,0.4,0,rhizosphere soil:2; soil:2; rhizosphere:1,3,rhizosphere metagenome,orig={'soil'} -> infer={'plant'},llm,llm_agent:2,llm_agent:2
PRJNA685386,15,2,0.1333,0,betula:6; betula pendula:4; betula pubescens:3; apis mellifera:2,4,plant metagenome,orig={'bee'} -> infer={'plant'},llm,llm_agent:2,llm_agent:2
PRJEB36405,13,1,0.0769,0,homo sapiens:10; cairina moschata:1; canis lupus familiaris:1; anas superciliosa:1,4,human gut metagenome,orig={'canine'} -> infer={'human'},llm,llm_agent:1,llm_agent:1
PRJNA277211,2,1,0.5,0,water:1; utricularia gibba:1,2,plant metagenome,orig={'freshwater'} -> infer={'plant'},llm,llm_agent:1,llm_agent:1
PRJNA292888,17,1,0.0588,0,rhinolophus sp.:3; pipistrellus sp.:2; triaenops afer:1; hipposideros caffer:1; rousettus aegyptiacus:1; macroglossus sobrinus:1,14,viral metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:1,llm_agent:1
PRJNA432129,1,1,1.0,0,zea mays l.:1,1,soil metagenome,orig={'plant'} -> infer={'soil'},llm,llm_agent:1,llm_agent:1
PRJNA435753,86,1,0.0116,0,siderastrea siderea:80; seawater:5; water:1,3,coral metagenome,orig={'freshwater'} -> infer={'marine'},llm,llm_agent:1,llm_agent:1
PRJNA515569,3,1,0.3333,2,water:1,1,aquaculture metagenome,orig={'freshwater'} -> infer={'fish'},llm,llm_agent:1,llm_agent:1
PRJNA639909,9,1,0.1111,0,mus musculus:8; homo sapiens:1,2,mouse gut metagenome,orig={'human'} -> infer={'mouse'},llm,llm_agent:1,llm_agent:1
PRJNA644737,1,1,1.0,0,water sample:1,1,aquatic viral metagenome,"orig={'freshwater'} -> infer={'human', 'marine'}",llm,llm_agent:1,llm_agent:1
PRJNA685265,23,1,0.0435,2,homo sapiens:16; homo sapiens neanderthalensis:4; pan troglodytes:1,3,oral metagenome,orig={'primate'} -> infer={'human'},llm,llm_agent:1,llm_agent:1
PRJNA685390,4,1,0.25,0,betula:2; betula pubescens:1; apis mellifera:1,3,plant metagenome,orig={'bee'} -> infer={'plant'},llm,llm_agent:1,llm_agent:1
PRJNA700111,2,1,0.5,0,water:1; soil:1,2,lake metagenome,orig={'soil'} -> infer={'freshwater'},llm,llm_agent:1,llm_agent:1
PRJNA718631,46,1,0.0217,0,canis lupus familiaris:45; equus ferus caballus:1,2,canine metagenome,orig={'horse'} -> infer={'canine'},llm,llm_agent:1,llm_agent:1
PRJNA775816,1,1,1.0,0,equus caballus:1,1,milk metagenome,"orig={'horse'} -> infer={'bovine', 'human'}",llm,llm_agent:1,llm_agent:1
