project_accession,n_runs_in_project,n_realconflict_rows,conflict_type,orig_countries,orig_sentinels,infer_value_projlevel,infer_note_top,infer_source_top,infer_method_top
PRJEB11419,7708,90,incomplete_subset,USA:CA;USA(329); USA:CA:San Diego(238); USA(196); USA:Unspecified;USA(131); Philippines:Unspecified;Philippines(85); USA:CA:San Diego;Not applicable(62); LabControl test(50); usa:ca:san diego(41); JP:Tokyo(34); USA:CO;USA(27); USA:AZ;USA(26); USA:MA;USA(21); USA:WA;USA(20); JP:Kanagawa(19); USA:NC;USA(17); USA:NY;USA(17); ES:MD(17); USA:TX;USA(16); USA:OR;USA(16); USA:PA;USA(15); ES:CT(15); ES:VC(14); JP:Aichi(13); JP:Chiba(12); ES:AN(10); JP:Saitama(9); USA:NM;USA(8); USA:MO;USA(8); USA:MN;USA(7); USA:FL;USA(7); United Kingdom:Unspecified;United Kingdom(6); USA:IL;USA(6); USA:MD;USA(6); USA:WI;USA(6); JP:Osaka(6); Australia:Unspecified;Australia(5); USA:VA;USA(5); JP:Miyagi(5); USA:NJ;USA(4); USA:SC;USA(4); USA:UT;USA(4); USA:ME;USA(4); USA:HI;USA(4); USA:LA;USA(4); USA:CT;USA(4); USA:AK;USA(4); USA:AL;USA(4); USA:VT;USA(4); JP:Fukuoka(4); ES:MC(3); ES:CL(3); ES:AS(3); JP:Hyogo(3); JP:Mie(3); JP:Gifu(3); JP:Kyoto(3); JP:Shizuoka(3); JP:Nagano(3); JP:Yamanashi(3); Canada:Unspecified;Canada(2); Japan:Unspecified;Japan(2); JP:Ibaraki(2); JP:Tochigi(2); JP:Gunma(2); JP:Niigata(2); JP:Hokkaido(2); JP:Aomori(2); JP:Shiga(2); USA:NE;USA(1); Belgium:Walloon Region;Belgium(1); USA:GA;USA(1); ES:CM(1); JP:Saga(1); JP:東京都(1); JP:Wakayama(1); JP:Okayama(1); ES:GA(1); ES:NC(1); ES:CB(1); ES:EX(1); ES:PV(1); JP:Kagawa(1); JP:埼玉県(1); JP:Toyama(1); ES:AR(1); JP:Ishikawa(1); JP:Oita(1); JP:Yamagata(1); JP:Nara(1),<empty>(6062); Not provided(8),United States;United Kingdom;Australia,American Gut project，且encompasses the British Gut and Australian Gut projects,llm_agent;llm_agent;llm_agent,llm_agent;llm_agent;llm_agent
PRJNA1186390,349,88,incomplete_subset,United Kingdom: Scotland(74); Spain(40); Italy(14); Greece(10); Germany(10); Belgium(9); United Kingdom(7); Netherlands(5); United Kingdom: England(1),<empty>(179),United Kingdom:UK,"[United Kingdom:UK|literature_abstract] rn Europe, Southern Europe and the UK. Samples were included from eight",literature,rule_place
PRJNA667550,85,85,fully_disjoint,New Zealand: Palmerston North(85),,China:Inner Mongolia,"Calf diarrhoea study in Inner Mongolia, China.",llm_agent,llm_agent
PRJEB68319,187,82,incomplete_subset,Denmark(105); Italy(36); Netherlands(28); Hungary(18),,Denmark:Copenhagen,"three main sewer systems in Copenhagen, Lynetten",llm_agent,llm_agent
PRJEB83236,615,81,incomplete_subset,Bangladesh(275); Bangladesh;Bangladesh:Dhaka(259); USA(57); USA;usa:ca:san diego(15); USA;USA:CA:San Diego(9),,Bangladesh,Bangladeshi mother-infant dyads,llm_agent,llm_agent
PRJNA892265,80,80,fully_disjoint,Spain: Barcelona(80),,France,"Roquette Freres, Lestrem, France",llm_agent,llm_agent
PRJNA994433,80,80,fully_disjoint,Israel(80),,United Kingdom,"cohort of 1,288 neonates from the UK stated explicitly",llm_agent,llm_agent
PRJNA281366,73,73,fully_disjoint,Italy: Trento(73),,China;United States,"[China|literature_abstract] sequence 822 skin samples from Han Chinese, which were subsequently combined ; [United States|literature_abstract] ith 538 previously sequenced North American samples to co",literature;literature,rule_demonym;rule_demonym
PRJEB73590,139,67,incomplete_subset,Tanzania(47); Mozambique(36); Ethiopia(36); Nigeria(20),,Ethiopia,"Ethiopia, human/animal/food/environmental samples",llm_agent,llm_agent
PRJNA573045,122,62,introduced_unknown,Panama(62); USA(60),,Bangladesh;China;United Kingdom;United States,"rule=['china', 'united kingdom', 'united states'] vs llm=['bangladesh', 'china', 'united kingdom', 'united states'] | Countries inferred from linked paper sample origins (BD, China, UK, USA); not expl",llm_agent;llm_agent;llm_agent;llm_agent,llm_agent;llm_agent;llm_agent;llm_agent
PRJNA528368,60,60,fully_disjoint,China(60),,Netherlands,rule=['global'] vs llm=['netherlands'] | Isolate designation NLD-2019 (NLD = Netherlands ISO code) for Mikania micrantha; inferred.,llm_agent,llm_agent
PRJEB23957,59,59,fully_disjoint,South Korea(59),,Korea,"[Korea|literature_abstract] ents, and seasonings (e.g. kimchi, Korean fermented vegetables, fermented se",literature,rule_demonym
PRJNA389927,181,57,incomplete_subset,Canada:Toronto(57); USA: Houston(54); USA: Ann Arbor(43); USA: Boston(27),,United States,Evidence states colorectal cancer is second leading cause of cancer death in the United States.,llm_agent,llm_agent
PRJNA658184,57,57,fully_disjoint,Korea:Iksan(12); Korea:Yeoju(9); Korea:Jincheon(6); Korea:Jeongeup(3); Korea:Icheon(3); Korea:Sangju(3); Korea:Jeonju(3); Korea:Gongju(3); Korea:Paju(3); Korea:Yangpyeong(3); Korea:Chungju(3); Korea:Seongju(3); Korea:Sunchang(3),,South Korea,rule=['korea'] vs llm=['south korea'] | Korean freshwater and wastewater samples. | llm_adjudicated: South Korea ~ Korea — same country,llm_agent,llm_agent
PRJEB4015,55,55,fully_disjoint,Germany(15); Sweden(13); Belgium(9); Great Britain(9); Denmark(9),,Ireland,"[Ireland|study_description] Responsible for the Irish potato famine of 1845-49, the oomy",study_meta,rule_demonym
PRJEB65852,52,52,fully_disjoint,Germany(52),,Iceland;Portugal;United Kingdom:Scotland,"[Iceland|literature_abstract] harvested at different locations (Iceland, Scotland, and Portugal) on methan ; [Portugal|literature_abstract] locations (Iceland, Scotland, and Portugal) on methane produ",literature;literature;literature,rule_place;rule_place;rule_place
PRJEB22062,417,51,incomplete_subset,Netherlands(54); Belgium(53); Italy(51); Poland(51); Bulgaria(44); Germany(42); Spain(41); Denmark(41); France(40),,Belgium;Bulgaria;Denmark;France;Spain;Germany;Netherlands;Poland,"rule=['europe', 'european'] vs llm=['belgium', 'bulgaria', 'denmark', 'france', 'germany', 'netherlands', 'poland', 'spain'] | nine European countries (BE BG DK FR ES GE NL PL SP) | llm_adjudicated: E",llm_agent;llm_agent;llm_agent;llm_agent;llm_agent;llm_agent;llm_agent;llm_agent,llm_agent;llm_agent;llm_agent;llm_agent;llm_agent;llm_agent;llm_agent;llm_agent
PRJNA545004,51,51,fully_disjoint,"Australia: Queensland, Great Barrier Reef(28); Australia: Orpheus Island(23)",,Seychelles,Linked paper #2 concerns coral reefs across the Seychelles; project broadly targets coral-associated microbial metagenomes.,llm_agent,llm_agent
PRJEB12502,92,49,incomplete_subset,Canada(49); USA(43),,United States:America,[United States:America|study_title] ecomposer communities across North America.,study_meta,rule_place
PRJNA243036,48,48,fully_disjoint,Denmark: Copenhagen(48),,United States,[United States|study_description] orts: The European MetaHIT and the American Human Microbiome Project. Addition,study_meta,rule_demonym
PRJNA328899,110,47,incomplete_subset,China: Inner Mongolia(47); Mongolia: Ulan Bator(32); Mongolia: Khentti(18); Mongolia: TUW province(13),,Mongolia,rule=['global'] vs llm=['mongolia'] | Mongolia (Mongolian population),llm_agent,llm_agent
PRJEB8420,135,46,incomplete_subset,Canada(89); USA(46),,Canada:British Columbia,"rule=['united kingdom', 'united states'] vs llm=['canada'] | temperate coniferous forest, British Columbia",llm_agent,llm_agent
PRJEB52394,198,46,incomplete_subset,Netherlands(152); Spain(26); Germany(20),,Netherlands,"Middenbeemster skeletal collection, Netherlands",llm_agent,llm_agent
PRJNA855637,53,42,fully_disjoint,Netherlands: Leiden(10); Germany: Berlin(8); Italy: Turin(7); Croatia: Zagreb(5); United Kingdom: Manchester(4); Germany: Munich(3); Switzerland: Burgdorf(3); Switzerland: Sankt Gallent(2),<empty>(11),Egypt,Ancient Egyptian canopic jars,llm_agent,llm_agent
PRJEB26788,76,39,incomplete_subset,Niger(21); Cyprus(20); Saudi Arabia(12); Barbados(11); Indian Ocean(6); Oman(6),,Barbados;Cyprus,"[Barbados|study_description] and biocrusts samples collected on Barbados, on Cyprus, Sahara desert and duri ; [Cyprus|study_description] samples collected on Barbados, on Cyprus, Sahara desert and dur",study_meta;study_meta,rule_place;rule_place
PRJNA188481,32,32,fully_disjoint,USA(32),,Mexico,[Mexico|literature_title] obesity and metabolic syndrome of Mexican children.,literature,rule_demonym
PRJEB44313,48,32,incomplete_subset,Serbia(23); Italy(16); Romania(4); Austria(4); Croatia(1),,Italy;Balkans,"rule=['italy'] vs llm=['balkans', 'italy'] | ancient foragers/farmers from Balkans and Italian Peninsula",llm_agent;llm_agent,llm_agent;llm_agent
PRJNA663116,32,32,fully_disjoint,China:Beijing(17); China:Chengde(15),,Mongolia,rule=['worldwide'] vs llm=['mongolia'] | Mongolian compound preparation Gurigumu-7; hospital-made preparations.,llm_agent,llm_agent
PRJNA288044,30,30,fully_disjoint,"Canada: Edmonton, Alberta(30)",,Turkey,"[Turkey|literature_abstract] th SFB genomes from mouse, rat and turkey, but the genome is genetically dis",literature,rule_place
PRJNA678426,106,28,incomplete_subset,South Korea: Seoul(78); Korea: Seoul(28),,South Korea,rule=['korea'] vs llm=['south korea'] | 106 Korean gut metagenome samples | llm_adjudicated: South Korea ~ Korea — same country,llm_agent,llm_agent
PRJNA938789,28,28,fully_disjoint,China:NingXia(28),,Poland:Bogdalow post-mining reservoir,site stated in abstract,llm_agent,llm_agent
PRJDB4525,36,27,introduced_unknown,Japan:Fukuoka(9); Thailand:Bangkok(7); Thailand:Khon Kaen(6); Indonesia:Bali(5); Indonesia:Yogjakarta(5); South Korea:Daegu(3); South Korea:Gyeongsan(1),,China;Japan,"[China|study_description] erate countries, such as Japan and China, while P-enterotype was frequent i ; [Japan|study_description] ed in temperate countries, such as Japan and China, while P-enterotype",study_meta;study_meta,rule_place;rule_place
PRJNA623996,48,24,incomplete_subset,Singapore: Nanyang Technology University campus(24); India: Faridabad(16); India: Ramnagar(8),,India,Study title 'Haze & India Air Pollution Project' indicates India; polluted-environment air samples.,llm_agent,llm_agent
PRJNA694225,24,24,fully_disjoint,Korea: Seoul and Gyeong-gi(24),,South Korea,"rule=['korea'] vs llm=['south korea'] | Han River, Korea. | llm_adjudicated: South Korea ~ Korea — same country",llm_agent,llm_agent
PRJEB29679,23,23,fully_disjoint,Brazil(23),,United Kingdom,"Queen's University Belfast, UK",llm_agent,llm_agent
PRJNA397990,21,21,fully_disjoint,Georgia: Atlanta(21),,United States,"Georgia Aquarium Ocean Voyager, largest indoor closed-system seawater exhibit in the United States.",llm_agent,llm_agent
PRJEB39685,132,20,introduced_unknown,Germany(45); France(40); Spain(27); Netherlands(20),,France;Germany;Spain;Turkey,"[France|literature_abstract] three European countries (Germany, France, and Spain). Between 2014 and 2016 ; [Germany|literature_abstract] farms in three European countries (Germany, France, and Spain)",literature;literature;literature;study_meta,rule_place;rule_place;rule_place;rule_place
PRJNA1087105,20,20,fully_disjoint,South Korea(20),,Korea,"Lake Soyang, South Korea",llm_agent,llm_agent
PRJNA489143,46,19,incomplete_subset,Australia: Great Barrier Reef(27); Saudi Arabia: Al Fahal Reef(19),,Australia:Great Barrier Reef;Red Sea,15 coral reef sponge species from the Great Barrier Reef and the Red Sea,llm_agent;llm_agent,llm_agent;llm_agent
PRJNA685265,23,19,incomplete_subset,South Africa: CapeTown(4); Australia: Adelaide South Australia(3); Germany: Stuttgart(3); Germany: Hettstedt(2); Spain: Vallobal(2); Poland: Masuria(2); Sudan: Khartoum(2); United Kingdom: England York(2); Belgium: Jemeppe Sur Sambre(2); Sierra Leone: Gola Forest(1),,Belgium;Spain,Spy cave (Belgium) and El Sidron cave (Spain) Neanderthal specimens.,llm_agent;llm_agent,llm_agent;llm_agent
PRJEB12466,18,17,incomplete_subset,USA(6); Thailand(3); China(2); Singapore(2); Japan(2); Greenland(1); Canada(1); Pakistan(1),,Denmark:Copenhagen,"toilet waste from 18 international airplanes arriving in Copenhagen, Denmark(来源城市为9个国际城市)",llm_agent,llm_agent
PRJNA255875,16,16,fully_disjoint,France: SAINT-GENES-CHAMPANELLE(16),,Germany,Goettingen minipigs (Germany),llm_agent,llm_agent
PRJEB34744,15,15,fully_disjoint,Barbados(15),,Germany;Indonesia;Kenya;United States,"[Germany|literature_abstract] an, Asian Indonesian and Caucasian German) using 16S rRNA gene sequence anal ; [Indonesia|literature_abstract] ican Kenyan, Afro-Caribbean, Asian Indonesian and Caucasian",literature;literature;literature;literature,rule_demonym;rule_demonym;rule_demonym;rule_demonym
PRJNA322324,15,15,fully_disjoint,United Kingdom(8); Kenya: Siaya county(5); Angola(2),,United States,[United States|literature_abstract] tine molecular surveillance in the United States detected multiple mumps viruses (M,literature,rule_place
PRJNA257723,14,14,fully_disjoint,Spain: off the coast of Alicante(14),,United States:Washington,"[United States:Washington|literature_abstract] tuarine metagenome in Puget Sound, Washington Pacific coast), with a proton-pump",literature,rule_place
PRJEB32794,40,14,incomplete_subset,Ireland(26); Brazil(14),,Ireland,,llm_agent,llm_agent
PRJEB27821,17,14,incomplete_subset,Italy(9); Sweden(5); Russia(3),,Russia,"[Russia|study_description] blished phylogeny. CHE1 (Chechnya, Russia, 18th c.), is now the latest Secon",study_meta,rule_place
PRJEB24121,290,12,incomplete_subset,Estonia(278); Latvia(12),,Estonia,forest and grassland topsoil sites in Estonia,llm_agent,llm_agent
PRJDB6359,12,12,fully_disjoint,"China:Yangzhou, Yizheng(12)",,Russia,"[Russia|literature_abstract] nd Beringia, encompassing parts of Russia and Alaska, with only one sample o",literature,rule_place
PRJEB22053,12,12,fully_disjoint,Argentina(12),,Bangladesh,[Bangladesh|literature_abstract] al bodied including groundwater in Bangladesh rendering serious public health co,literature,rule_place
PRJEB37860,12,12,fully_disjoint,Spain(12),,Germany,[Germany|study_description] nd metatranscriptomics data of the german cockroach hindgut to validate a me,study_meta,rule_demonym
PRJNA278393,38,11,incomplete_subset,Tanzania(27); Italy(11),,Tanzania,Hadza hunter-gatherers of Tanzania,llm_agent,llm_agent
PRJNA299342,11,11,fully_disjoint,China:Hangzhou(11),,Turkey,"[Turkey|literature_abstract] th SFB genomes from mouse, rat and turkey, but the genome is genetically dis",literature,rule_place
PRJNA438436,11,11,fully_disjoint,France(11),,Italy,"inferred from linked paper #2 (Bardigiano, an Italian breed); project description does not name a country",llm_agent,llm_agent
PRJNA542342,10,10,fully_disjoint,USA: MD(5); USA: IA(4); USA: IL(1),,China:Gan River source area,Linked paper #1 sampled the Gan River source area (China) for drinking-water Legionella surveillance; project is Legionella metagenomics.,llm_agent,llm_agent
PRJEB49115,10,10,fully_disjoint,France(10),,United Kingdom:UK,[United Kingdom:UK|literature_abstract] e ENA database (https://www.ebi.ac.uk/ena/browser/view/PRJEB49115). The,literature,rule_place
PRJNA1116707,10,10,fully_disjoint,"France: Volvic(2); Lebanon: Tannourine(2); United Kingdom: Scotland, Blackford(2); France: Evian(2); Austria: Wildalpen(2)",,Saudi Arabia,bottled water brands from Saudi Arabia and abroad,llm_agent,llm_agent
PRJNA656660,9,9,fully_disjoint,China: Guangzhou(9),,Mexico,Two avocado orchards in Mexico.,llm_agent,llm_agent
PRJNA783651,9,9,fully_disjoint,China:Inner Mongolia(9),,Mongolia,Mongolian gazelle (Procapra gutturosa),llm_agent,llm_agent
PRJNA994497,9,9,fully_disjoint,Guadeloupe(9),,France,"Guadeloupe (Lesser Antilles), overseas region of France, stated explicitly",llm_agent,llm_agent
PRJNA237127,46,8,incomplete_subset,"Peru: Manu National Park(3); Canada: BOREAS site, Saskatchewan(3); USA: Sedgwick Reserve, CA(3); USA: Duke Forest, NC(2); USA: Great Basin Experimental Range, UT(2); USA: Mojave Desert, CA(2); Argentina: Misiones(2); USA: Catskills, NY(2); USA: Kohala Peninsula, HI(2); USA: Institute for Ecosystem Studies, NY(2); Puerto Rico: Luquillo LTER(2); USA: Toolik Lake LTER, AK(2); USA: Calhoun Experimental Forest, SC(2); USA: Sequoia National Park, CA(2); USA: Sevilleta LTER, NM(2); USA: Bousson Forest, PA(1); USA: Fort Collins, CO(1); USA: Shortgrass Steppe LTER, CO(1); USA: USDA Grassland Research Center, Riesel, TX(1); USA: Santa Fe, NM(1); USA: Badlands National Park, SD(1); USA: Bonanza Creek LTER, AK(1); USA: Konza Prairie LTER, KS(1); USA: Sierra Nevada Mts., CA(1); USA: Cedar Mtn. AZ(1); USA: Itasca Lake State Park, MN(1); USA: Sunset Crater, AZ(1); USA: Valles Caldera, NM(1)",,United States:America,[United States:America|study_description] s from 47 sites in North and South America. The sites represented a wide rang,study_meta,rule_place
PRJNA893434,50,8,incomplete_subset,Sweden(34); Sweden: Uppsala county(6); France(4); United Kingdom(2); Sweden: Jamtland county(2); Denmark(2),,Sweden,Jamtland and Uppsala counties,llm_agent,llm_agent
PRJNA183510,99,6,introduced_unknown,"Canada: Medicine Hat Glauconitic field(15); Canada: Alberta(14); Canada: Syncrude tailings pond, Wood Buffalo, Alberta(10); Canada: Northern Alberta(10); Canada: Suncor tailings pond 6, Wood Buffalo, Alberta(9); Canada: Near Fort McMurray in northeastern Alberta(8); Canada: Fort McMurray, Alberta(7); Canada: North Alberta(7); USA: San Juan basin(4); Canada: Quicksilver Bowden, Alberta(2); Canada: Northern Alberta (northwest of Edmonton)(2); Trinidad and Tobago: La Brea(2); Canada: Syncrude, Ft. McMurray, Alberta(2); Canada:Fort McMurray(2); Canada:Athabasca Oil Sands(2); Canada: Horse River, Fort McMurray, AB(2); Canada:Alberta(1)",,Canada;Hungary,"[Canada|literature_title] hydrocarbon polluted Hungarian and Canadian samples. ; [Hungary|literature_title] , detected in hydrocarbon polluted Hungarian and Canadian samples.",literature;literature,rule_demonym;rule_demonym
PRJNA474760,6,6,fully_disjoint,China:Dexing(6),,Armenia:Syunik region,"copper mine drainage/metagenome of Kavart, Kapan, Artsvanik tailings in Syunik region, Armenia",llm_agent,llm_agent
PRJNA415343,6,6,fully_disjoint,Sweden: Gullmar Fjord(6),,Peru,rule=['global'] vs llm=['peru'] | Globobulimina (foraminifera) and associated bacteria; Peruvian oxygen minimum zone,llm_agent,llm_agent
PRJNA564639,6,6,fully_disjoint,China: Guangdong(6),,USA,"rule=['united states'] vs llm=['usa'] | Black bears from Nevada and northern California, USA | llm_adjudicated: LLM United States value vs rule United States; same country (synonym/granularity).",llm_agent,llm_agent
PRJEB41993,6,6,fully_disjoint,Norway(6),,China,"northern China (North China Plain, Northeast China)",llm_agent,llm_agent
PRJNA781422,39,6,incomplete_subset,"Czech Republic: Prasily na Sumave(9); Austria: Poysdorf(6); Czech Republic: Petrusov u Moravske Trebove(6); Czech Republic: Brumov-Bylnice(3); Czech Republic: Slezsko(3); Czech Republic: Lhotka u Telce(3); Czech Republic: Strakonice(3); Czech Republic: Usti Nad Labem, Brna(3); Czech Republic: Ivancice(3)",,Czech Republic,"rule=['australia', 'czechia'] vs llm=['czech republic'] | apiaries in Czech Republic | llm_adjudicated: Czech Republic ~ Czechia / Czechia:Czech Republic — same country",llm_agent,llm_agent
PRJNA432804,5,5,fully_disjoint,"China: Sichuan, Chengdu(3); China: Chengdu, Sichuan(2)",,Australia,paper concerns Getah virus in Australia and Asia; project description empty,llm_agent,llm_agent
PRJNA517146,14,5,incomplete_subset,Cuba: Caribbean sea: Jardines de la Reina Archipelago(9); USA: Florida Keys(5),,Cuba,"Coral reef seawater from Cuba (Jardines de la Reina, Los Canarreos) and Florida Keys, USA.",llm_agent,llm_agent
PRJEB3374,4,4,fully_disjoint,China(4),,United Kingdom:UK,[United Kingdom:UK|literature_abstract] h. Database URL: http://www.ebi.ac.uk/ena.,literature,rule_place
PRJEB1391,4,4,fully_disjoint,South Korea(4),,United Kingdom:UK,[United Kingdom:UK|literature_abstract] h. Database URL: http://www.ebi.ac.uk/ena.,literature,rule_place
PRJNA265986,14,4,incomplete_subset,"Italy:Voltri Massif, Liguria(8); Atlantic Ocean:Lost City Hydrothermal Field(2); New Caledonia:Bay of Prony(2); Costa Rica:Cuenca Murcielago(1); Portugal:Cabeco de Vide(1)",,Italy:Voltri Massif,"serpentinite springs of the Voltri Massif, Italy",llm_agent,llm_agent
PRJNA312164,4,4,fully_disjoint,Brazil: Rio Grande do Sul(4),,United States,[United States|study_title] rctocephalus tropicalis) and South American Fur Seal (Arctocephalus australis),study_meta,rule_demonym
PRJNA450104,4,4,fully_disjoint,Italy: Novara(4),,Japan,Cicada bacteriome study; collection in Japan inferred from linked paper on Japanese cicada symbionts.,llm_agent,llm_agent
PRJEB21603,4,4,fully_disjoint,Belgium(4),,Mali,[Mali|literature_abstract] s similar to  Lactobacillus hordei/mali  were present in the water kefir e,literature,rule_place
PRJNA640385,8,4,incomplete_subset,Latvia:Riga(4); Israel:Jerusalem(4),,Latvia:Jerusalem,latrine sediments from Riga (Latvia) and Jerusalem; two sites/countries,llm_agent,llm_agent
PRJNA688760,4,4,fully_disjoint,USA: International Space Station(4),,Mexico,"rule=['united states'] vs llm=['mexico'] | Guerrero Negro, Baja California, México.",llm_agent,llm_agent
